task_id,scenario,seed,model,proposal_choice,proposal_state,protected_oracle_choice,constraint_followed,protected_oracle_match,response_valid,format_normalized,presented_order,error
objective-polarized-95021,polarized,95021,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_neg_150"", ""p_pos_100"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_000""]",
objective-polarized-95022,polarized,95022,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_050,oracle_correct,p_pos_050,True,True,True,True,"[""p_neg_150"", ""p_pos_100"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_050"", ""p_000""]",
objective-polarized-95023,polarized,95023,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_050,protected_violation,p_neg_050,False,False,True,True,"[""p_neg_100"", ""p_neg_050"", ""p_000"", ""p_neg_150"", ""p_pos_050"", ""p_pos_150"", ""p_pos_100""]",
objective-polarized-95024,polarized,95024,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_050,protected_violation,p_pos_050,False,False,True,True,"[""p_neg_150"", ""p_pos_100"", ""p_pos_050"", ""p_000"", ""p_neg_050"", ""p_pos_150"", ""p_neg_100""]",
objective-polarized-95025,polarized,95025,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_050"", ""p_pos_100"", ""p_pos_050"", ""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_neg_100""]",
objective-polarized-95026,polarized,95026,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_150"", ""p_pos_100"", ""p_neg_150"", ""p_pos_050"", ""p_neg_050"", ""p_000"", ""p_neg_100""]",
objective-polarized-95027,polarized,95027,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_000"", ""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100""]",
objective-polarized-95028,polarized,95028,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100"", ""p_neg_050""]",
objective-polarized-95029,polarized,95029,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_050"", ""p_pos_050"", ""p_pos_100"", ""p_neg_150"", ""p_000"", ""p_pos_150"", ""p_neg_100""]",
objective-polarized-95030,polarized,95030,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_150"", ""p_pos_050"", ""p_pos_100"", ""p_pos_150"", ""p_neg_050"", ""p_000"", ""p_neg_100""]",
objective-polarized-95031,polarized,95031,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_000"", ""p_neg_050"", ""p_pos_050"", ""p_pos_150"", ""p_neg_100"", ""p_neg_150""]",
objective-fragmented-95000,fragmented,95000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_100"", ""p_neg_150"", ""p_pos_050"", ""p_pos_100"", ""p_neg_050"", ""p_pos_150"", ""p_000""]",
objective-fragmented-95001,fragmented,95001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_neg_150"", ""p_neg_100"", ""p_neg_050"", ""p_000"", ""p_pos_050"", ""p_pos_150""]",
objective-fragmented-95002,fragmented,95002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_100"", ""p_neg_150"", ""p_neg_050"", ""p_pos_100"", ""p_pos_150""]",
objective-fragmented-95003,fragmented,95003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_000"", ""p_pos_050"", ""p_neg_050"", ""p_pos_100"", ""p_pos_150"", ""p_neg_150""]",
objective-fragmented-95004,fragmented,95004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_100"", ""p_pos_150"", ""p_neg_100"", ""p_000"", ""p_neg_050"", ""p_pos_050"", ""p_neg_150""]",
objective-fragmented-95005,fragmented,95005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_100"", ""p_neg_050"", ""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_neg_100"", ""p_000""]",
objective-fragmented-95006,fragmented,95006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_100"", ""p_pos_150"", ""p_000"", ""p_neg_050"", ""p_neg_150"", ""p_pos_050"", ""p_pos_100""]",
objective-fragmented-95007,fragmented,95007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_050"", ""p_neg_150"", ""p_pos_100"", ""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_000""]",
objective-fragmented-95008,fragmented,95008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_neg_100"", ""p_neg_050"", ""p_000"", ""p_pos_100""]",
objective-fragmented-95009,fragmented,95009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_100"", ""p_pos_050"", ""p_pos_150"", ""p_neg_150"", ""p_neg_050"", ""p_neg_100"", ""p_000""]",
objective-fragmented-95010,fragmented,95010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_neg_050"", ""p_000"", ""p_neg_150"", ""p_pos_150"", ""p_pos_050"", ""p_neg_100""]",
objective-fragmented-95011,fragmented,95011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_100"", ""p_000"", ""p_neg_100"", ""p_pos_150"", ""p_neg_150"", ""p_neg_050"", ""p_pos_050""]",
objective-fragmented-95012,fragmented,95012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_000"", ""p_pos_050"", ""p_pos_100"", ""p_neg_050"", ""p_pos_150"", ""p_neg_150"", ""p_neg_100""]",
objective-fragmented-95013,fragmented,95013,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_neg_050"", ""p_pos_150"", ""p_pos_100"", ""p_000""]",
objective-fragmented-95014,fragmented,95014,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100""]",
objective-fragmented-95015,fragmented,95015,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_pos_150"", ""p_neg_100"", ""p_pos_100"", ""p_neg_050""]",
objective-fragmented-95016,fragmented,95016,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_150"", ""p_neg_150"", ""p_000"", ""p_neg_100"", ""p_pos_100"", ""p_pos_050"", ""p_neg_050""]",
objective-fragmented-95017,fragmented,95017,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100"", ""p_000"", ""p_neg_050"", ""p_pos_150""]",
objective-fragmented-95018,fragmented,95018,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_100"", ""p_000"", ""p_pos_100"", ""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_neg_050""]",
objective-fragmented-95019,fragmented,95019,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_000"", ""p_pos_050"", ""p_neg_150"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100"", ""p_neg_050""]",
objective-fragmented-95020,fragmented,95020,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_050,oracle_correct,p_pos_050,True,True,True,True,"[""p_neg_100"", ""p_neg_150"", ""p_pos_100"", ""p_000"", ""p_pos_050"", ""p_neg_050"", ""p_pos_150""]",
objective-fragmented-95021,fragmented,95021,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_neg_150"", ""p_pos_100"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_000""]",
objective-fragmented-95022,fragmented,95022,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_150"", ""p_pos_100"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_050"", ""p_000""]",
objective-fragmented-95023,fragmented,95023,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_100"", ""p_neg_050"", ""p_000"", ""p_neg_150"", ""p_pos_050"", ""p_pos_150"", ""p_pos_100""]",
objective-fragmented-95024,fragmented,95024,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_150"", ""p_pos_100"", ""p_pos_050"", ""p_000"", ""p_neg_050"", ""p_pos_150"", ""p_neg_100""]",
objective-fragmented-95025,fragmented,95025,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_050"", ""p_pos_100"", ""p_pos_050"", ""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_neg_100""]",
objective-fragmented-95026,fragmented,95026,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_pos_100"", ""p_neg_150"", ""p_pos_050"", ""p_neg_050"", ""p_000"", ""p_neg_100""]",
objective-fragmented-95027,fragmented,95027,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_000"", ""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100""]",
objective-fragmented-95028,fragmented,95028,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100"", ""p_neg_050""]",
objective-fragmented-95029,fragmented,95029,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_050"", ""p_pos_050"", ""p_pos_100"", ""p_neg_150"", ""p_000"", ""p_pos_150"", ""p_neg_100""]",
objective-fragmented-95030,fragmented,95030,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_neg_150"", ""p_pos_050"", ""p_pos_100"", ""p_pos_150"", ""p_neg_050"", ""p_000"", ""p_neg_100""]",
objective-fragmented-95031,fragmented,95031,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_pos_100,compliant_suboptimal,p_pos_050,True,False,True,True,"[""p_pos_100"", ""p_000"", ""p_neg_050"", ""p_pos_050"", ""p_pos_150"", ""p_neg_100"", ""p_neg_150""]",
objective-intense_minority-95000,intense_minority,95000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_neg_150"", ""p_pos_050"", ""p_pos_100"", ""p_neg_050"", ""p_pos_150"", ""p_000""]",
objective-intense_minority-95001,intense_minority,95001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_050,oracle_correct,p_neg_050,True,True,True,True,"[""p_pos_100"", ""p_neg_150"", ""p_neg_100"", ""p_neg_050"", ""p_000"", ""p_pos_050"", ""p_pos_150""]",
objective-intense_minority-95002,intense_minority,95002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_100"", ""p_neg_150"", ""p_neg_050"", ""p_pos_100"", ""p_pos_150""]",
objective-intense_minority-95003,intense_minority,95003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_000"", ""p_pos_050"", ""p_neg_050"", ""p_pos_100"", ""p_pos_150"", ""p_neg_150""]",
objective-intense_minority-95004,intense_minority,95004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_150,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_pos_150"", ""p_neg_100"", ""p_000"", ""p_neg_050"", ""p_pos_050"", ""p_neg_150""]",
objective-intense_minority-95005,intense_minority,95005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_neg_050"", ""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_neg_100"", ""p_000""]",
objective-intense_minority-95006,intense_minority,95006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_pos_150"", ""p_000"", ""p_neg_050"", ""p_neg_150"", ""p_pos_050"", ""p_pos_100""]",
objective-intense_minority-95007,intense_minority,95007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_050"", ""p_neg_150"", ""p_pos_100"", ""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_000""]",
objective-intense_minority-95008,intense_minority,95008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_neg_100"", ""p_neg_050"", ""p_000"", ""p_pos_100""]",
objective-intense_minority-95009,intense_minority,95009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_pos_050"", ""p_pos_150"", ""p_neg_150"", ""p_neg_050"", ""p_neg_100"", ""p_000""]",
objective-intense_minority-95010,intense_minority,95010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_neg_050"", ""p_000"", ""p_neg_150"", ""p_pos_150"", ""p_pos_050"", ""p_neg_100""]",
objective-intense_minority-95011,intense_minority,95011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_100"", ""p_000"", ""p_neg_100"", ""p_pos_150"", ""p_neg_150"", ""p_neg_050"", ""p_pos_050""]",
objective-intense_minority-95012,intense_minority,95012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_000"", ""p_pos_050"", ""p_pos_100"", ""p_neg_050"", ""p_pos_150"", ""p_neg_150"", ""p_neg_100""]",
objective-intense_minority-95013,intense_minority,95013,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_neg_050"", ""p_pos_150"", ""p_pos_100"", ""p_000""]",
objective-intense_minority-95014,intense_minority,95014,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100""]",
objective-intense_minority-95015,intense_minority,95015,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_pos_150"", ""p_neg_100"", ""p_pos_100"", ""p_neg_050""]",
objective-intense_minority-95016,intense_minority,95016,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_neg_150"", ""p_000"", ""p_neg_100"", ""p_pos_100"", ""p_pos_050"", ""p_neg_050""]",
objective-intense_minority-95017,intense_minority,95017,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100"", ""p_000"", ""p_neg_050"", ""p_pos_150""]",
objective-intense_minority-95018,intense_minority,95018,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_000"", ""p_pos_100"", ""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_neg_050""]",
objective-intense_minority-95019,intense_minority,95019,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_000"", ""p_pos_050"", ""p_neg_150"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100"", ""p_neg_050""]",
objective-intense_minority-95020,intense_minority,95020,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_neg_150"", ""p_pos_100"", ""p_000"", ""p_pos_050"", ""p_neg_050"", ""p_pos_150""]",
objective-intense_minority-95021,intense_minority,95021,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_neg_150"", ""p_pos_100"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_000""]",
objective-intense_minority-95022,intense_minority,95022,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_150"", ""p_pos_100"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_050"", ""p_000""]",
objective-intense_minority-95023,intense_minority,95023,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_100"", ""p_neg_050"", ""p_000"", ""p_neg_150"", ""p_pos_050"", ""p_pos_150"", ""p_pos_100""]",
objective-intense_minority-95024,intense_minority,95024,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_150"", ""p_pos_100"", ""p_pos_050"", ""p_000"", ""p_neg_050"", ""p_pos_150"", ""p_neg_100""]",
objective-intense_minority-95025,intense_minority,95025,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_neg_050"", ""p_pos_100"", ""p_pos_050"", ""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_neg_100""]",
objective-intense_minority-95026,intense_minority,95026,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_pos_150"", ""p_pos_100"", ""p_neg_150"", ""p_pos_050"", ""p_neg_050"", ""p_000"", ""p_neg_100""]",
objective-intense_minority-95027,intense_minority,95027,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,p_neg_100,compliant_suboptimal,p_neg_050,True,False,True,True,"[""p_000"", ""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100""]",
